task_id,subtask_id,fragment,locator,allowlist,blocklist,depends_on
P0001,,sources/piece-01/score.mei,omr-layout,,,
P0001,S0001,sources/piece-01/score.mei,omr-layout,,,
P0002,,sources/piece-01/score.mei,score-setup,,,P0001
P0002,S0001,sources/piece-01/score.mei,score-setup,,,
T0001,,sources/piece-01/score.mei,surface-1,,,P0002
T0001,S0001,sources/piece-01/score.mei,surface-1,,,
T0002,,sources/piece-01/score.mei,surface-2,,,P0002
T0002,S0001,sources/piece-01/score.mei,surface-2,,,
T0003,,sources/piece-01/score.mei,surface-3,,,P0002
T0003,S0001,sources/piece-01/score.mei,surface-3,,,
T0004,,sources/piece-01/score.mei,surface-4,,,P0002
T0004,S0001,sources/piece-01/score.mei,surface-4,,,
